ip,lat,lng,org,cc
155.69.196.220,1.34712,103.68,Nanyang Technological University,SG
155.69.196.245,1.34712,103.68,Nanyang Technological University,SG
31.13.78.52,-36.8506,174.7679,Meta Platforms Ireland Limited,NZ
74.125.10.7,37.422,-122.084,Google LLC,US
198.71.44.98,42.2338,-83.7289,Internet2,US
155.69.160.32,1.34712,103.68,Nanyang Technological University,SG
172.217.27.5,1.35208,103.82,Google LLC,SG
123.136.65.217,1.29961,103.788,A Star,SG
13.107.4.50,43.6532,-79.3832,Microsoft Corporation,CA
172.217.27.37,1.35208,103.82,Google LLC,SG
40.96.1.194,1.28239,103.852,Microsoft Corporation,SG
202.12.27.33,35.3882,139.428,WIDE,JP
193.49.97.157,43.1211,6.0114,Meteo-France / CNRM,FR
52.216.64.225,39.0438,-77.4874,AWS S3 (us-east-1),US
130.14.250.11,39.0015,-77.0961,National Library of Medicine,US
137.132.97.44,1.29754,103.772,National University of Singapore,SG
137.132.190.84,1.29754,103.772,National University of Singapore,SG
123.136.68.156,1.29961,103.788,,SG
202.83.105.146,1.30306,103.908,Viewqwest Pte Ltd,SG
40.100.29.194,1.352,103.8198,Microsoft Corporation,SG
74.125.200.94,37.422,-122.084,Google LLC,US
134.109.108.8,50.8191,12.9419,Technische Universitaet Chemnitz,DE
40.96.2.130,37.5747,126.979,Microsoft Corporation,KR
175.156.15.109,1.32525,103.749,M1 Ltd,SG
14.139.38.172,26.4969,80.3246,Indian Institute of Technology Kanpur,IN
202.6.241.85,1.38755,103.844,A-STAR,SG
143.107.119.90,-22.9434,-46.5581,Universidade De SAO Paulo,BR
129.164.179.22,38.9586,-77.357,National Aeronautics and Space Administration,US
203.80.20.66,2.92337,101.656,Myren Infra,MY
103.37.198.100,1.29873,103.787,A*STAR,SG
54.169.175.67,1.28009,103.851,AWS EC2 (ap-southeast-1),SG
155.69.132.144,1.34712,103.68,Nanyang Technological University,SG
130.88.250.157,53.5039,-2.1959,The University of Manchester,GB
133.39.224.12,35.6916,139.768,,JP
198.143.39.33,1.35208,103.82,Incapsula Inc,SG
137.132.228.15,1.29754,103.772,National University of Singapore,SG
61.252.52.21,37.5576,126.9937,Koren,KR
202.6.241.90,1.38755,103.844,A-STAR,SG
130.243.53.169,60.4751,15.3837,Dalarna University,SE
103.252.172.206,31.4143,120.891,DKU,CN
210.45.121.155,31.7972,117.346,,CN
155.69.195.196,1.34712,103.68,Nanyang Technological University,SG
173.194.22.203,36.1219,-79.7777,Google LLC,US
155.69.253.6,1.34712,103.68,Nanyang Technological University,SG
162.125.34.129,40.7128,-74.006,"Dropbox, Inc.",US
123.136.71.68,1.29961,103.788,A Star,SG
203.110.242.21,22.518,88.3832,Indian Institute Of Technology,IN
130.246.176.39,51.567,-1.78472,Science Technology Facilities Council,GB
74.125.200.104,37.422,-122.084,Google LLC,US
74.125.200.189,37.422,-122.084,Google LLC,US
155.69.193.45,1.34712,103.68,Nanyang Technological University,SG
206.87.224.81,49.4635,-122.822,BCnet,CA
202.6.241.24,1.38755,103.844,A-STAR,SG
54.192.148.21,1.35208,103.82,AWS CloudFront (GLOBAL),SG
210.193.10.151,1.32525,103.749,M1 NET LTD,SG
155.69.196.9,1.34712,103.68,Nanyang Technological University,SG
203.181.248.70,35.6363,139.6043,Asia Pacific Advanced Network - Japan,JP
140.116.214.241,22.9917,120.2148,,TW
74.125.10.25,1.35208,103.82,Google LLC,SG
74.125.10.9,37.422,-122.084,Google LLC,US
119.81.26.218,1.35208,103.82,SoftLayer Dutch Holdings B.V,SG
